from_arm	to_arm	meaning	method	dataset	from_success_2a_pct	to_success_2a_pct	delta_pp	from_rmsd_le_2a_pct	to_rmsd_le_2a_pct	delta_rmsd_pp	from_n	to_n	recorded
A1_refconf_refbox	A2_genconf_refbox	cost of generating the starting conformer instead of using the crystal one	gnina	astex	73.49	68.67	-4.82	75.9	69.88	-6.02	83	83	2026-09-25
A1_refconf_refbox	A2_genconf_refbox	cost of generating the starting conformer instead of using the crystal one	gnina	posebusters	68.46	55.7	-12.76	70.47	58.39	-12.08	298	298	2026-09-25
A1_refconf_refbox	A2_genconf_refbox	cost of generating the starting conformer instead of using the crystal one	vina	astex	75.64	52.56	-23.08	75.64	52.56	-23.08	78	78	2026-09-25
A1_refconf_refbox	A2_genconf_refbox	cost of generating the starting conformer instead of using the crystal one	vina	posebusters	66.56	53.51	-13.05	68.56	55.52	-13.04	299	299	2026-09-25
A1_refconf_refbox	A2_genconf_refbox	cost of generating the starting conformer instead of using the crystal one	vinardo	astex	68.67	57.83	-10.84	69.88	57.83	-12.05	83	83	2026-09-25
A1_refconf_refbox	A2_genconf_refbox	cost of generating the starting conformer instead of using the crystal one	vinardo	posebusters	60.54	48.3	-12.24	64.29	50.68	-13.61	294	294	2026-09-25
A2_genconf_refbox	A3_genconf_detbox	cost of taking the box from pocket detection instead of the crystal ligand	gnina	astex	68.67	24.69	-43.98	69.88	24.69	-45.19	83	81	2026-09-25
A2_genconf_refbox	A3_genconf_detbox	cost of taking the box from pocket detection instead of the crystal ligand	gnina	posebusters	55.7	21.48	-34.22	58.39	23.15	-35.24	298	298	2026-09-25
A2_genconf_refbox	A3_genconf_detbox	cost of taking the box from pocket detection instead of the crystal ligand	vina	astex	52.56	21.05	-31.51	52.56	21.05	-31.51	78	76	2026-09-25
A2_genconf_refbox	A3_genconf_detbox	cost of taking the box from pocket detection instead of the crystal ligand	vina	posebusters	53.51	22.41	-31.1	55.52	23.41	-32.11	299	299	2026-09-25
A2_genconf_refbox	A3_genconf_detbox	cost of taking the box from pocket detection instead of the crystal ligand	vinardo	astex	57.83	16.05	-41.78	57.83	16.05	-41.78	83	81	2026-09-25
A2_genconf_refbox	A3_genconf_detbox	cost of taking the box from pocket detection instead of the crystal ligand	vinardo	posebusters	48.3	20.07	-28.23	50.68	22.11	-28.57	294	294	2026-09-25
A1_refconf_refbox	A3_genconf_detbox	cost of removing both, which is the gap between the quoted protocol and a blind one	gnina	astex	73.49	24.69	-48.8	75.9	24.69	-51.21	83	81	2026-09-25
A1_refconf_refbox	A3_genconf_detbox	cost of removing both, which is the gap between the quoted protocol and a blind one	gnina	posebusters	68.46	21.48	-46.98	70.47	23.15	-47.32	298	298	2026-09-25
A1_refconf_refbox	A3_genconf_detbox	cost of removing both, which is the gap between the quoted protocol and a blind one	vina	astex	75.64	21.05	-54.59	75.64	21.05	-54.59	78	76	2026-09-25
A1_refconf_refbox	A3_genconf_detbox	cost of removing both, which is the gap between the quoted protocol and a blind one	vina	posebusters	66.56	22.41	-44.15	68.56	23.41	-45.15	299	299	2026-09-25
A1_refconf_refbox	A3_genconf_detbox	cost of removing both, which is the gap between the quoted protocol and a blind one	vinardo	astex	68.67	16.05	-52.62	69.88	16.05	-53.83	83	81	2026-09-25
A1_refconf_refbox	A3_genconf_detbox	cost of removing both, which is the gap between the quoted protocol and a blind one	vinardo	posebusters	60.54	20.07	-40.47	64.29	22.11	-42.18	294	294	2026-09-25
A2_genconf_refbox	A4_crossdock	cost of docking into a structure solved with a different ligand	gnina	astex	68.67	18.09	-50.58	69.88	18.59	-51.29	83	199	2026-09-25
A2_genconf_refbox	A4_crossdock	cost of docking into a structure solved with a different ligand	gnina	posebusters	55.7	18.09	-37.61	58.39	18.59	-39.8	298	199	2026-09-25
A2_genconf_refbox	A4_crossdock	cost of docking into a structure solved with a different ligand	vina	astex	52.56	16.75	-35.81	52.56	16.75	-35.81	78	197	2026-09-25
A2_genconf_refbox	A4_crossdock	cost of docking into a structure solved with a different ligand	vina	posebusters	53.51	16.75	-36.76	55.52	16.75	-38.77	299	197	2026-09-25
A2_genconf_refbox	A4_crossdock	cost of docking into a structure solved with a different ligand	vinardo	astex	57.83	16.24	-41.59	57.83	16.24	-41.59	83	197	2026-09-25
A2_genconf_refbox	A4_crossdock	cost of docking into a structure solved with a different ligand	vinardo	posebusters	48.3	16.24	-32.06	50.68	16.24	-34.44	294	197	2026-09-25
A0_null	A2_genconf_refbox	what the search buys over dropping the conformer in the box	vina	astex	0.0	52.56	52.56	2.35	52.56	50.21	85	78	2026-09-25
A0_null	A2_genconf_refbox	what the search buys over dropping the conformer in the box	vina	posebusters	0.32	53.51	53.19	3.57	55.52	51.95	308	299	2026-09-25
