dataset	key	stage	reason	recorded
posebusters	5S8I_2LY	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6VS3_R6V	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6W59_SZD	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6X8D_ARA	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6XAF_GDP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6XUM_30L	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6Y7L_QMG	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6YDY_K73	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6Z5Z_BDF	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6ZR8_QOZ	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6ZT2_QPK	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6ZX3_QRZ	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	6ZXQ_IMO	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7AA0_R6B	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7AMC_73B	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7AS1_21G	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7AVI_S2Q	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7B0E_C2E	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7BA0_T5H	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7BHX_TO5	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7BJ6_TVK	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7BLA_WCS	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7BLG_GAL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7C6P_SQH	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7D0P_1VU	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7D8Q_GZF	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7D9L_GSF	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7DIN_MPO	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7E2S_BLA	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7EN7_J79	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7JGW_V9S	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7JNB_A2G	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7JR8_VH7	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7JUD_MMA	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7K41_VUA	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7KFO_IAC	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7KLX_WOV	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7KP6_WTP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7L6D_BMF	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7L81_UD4	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7LB3_XXS	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7LZQ_YJV	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7M41_YQG	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7MAE_XUS	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7MEU_MGP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7MRH_ZMJ	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7MS7_ZQ1	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7MZS_GLA	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7NA4_1I9	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7NB4_U6Q	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7NLK_UHK	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7NML_I7B	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7NR6_UO8	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7NTG_F6R	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7OCB_V88	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ODX_DGP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7OKC_VFE	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7OKF_VH5	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7OLT_58J	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7OMJ_GCP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7ORW_7WA	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7OU8_1XI	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7P2W_4QR	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7P4J_5JK	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7P4V_DAT	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7P85_5ZG	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7PA4_C	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7Q19_DSM	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7QK0_EBL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7QSW_CAP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7REE_4LY	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7RH8_UTP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7RPZ_6IC	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7RUI_7QZ	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7RWO_7WN	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7S45_ACO	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7S9H_7PP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7SED_8VD	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7SGV_L30	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7SNE_9XR	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7SSM_B7L	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7T0U_E3I	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7T2I_E9F	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7T3F_EM0	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7T9O_GEI	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7TWC_CXS	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7TXP_0FX	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7UEY_N0R	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7UF2_5SP	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7UMV_NUU	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7UP3_NZ0	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7V8Z_5YH	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7VJT_7IJ	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7W6F_8I6	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7WN5_JGL	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
posebusters	7XEK_9YX	02_fetch_benchmarks	in the 428-complex preprint archive but not in the 308-complex published set; removed by the authors during peer review for crystal contacts	2026-09-22
